Ain - 2e, Romain Daubié, MoDem-Ensemble, NON
Ain - 4e, Christophe Coquelet, Hor.-Ensemble, NON
Alpes-de-Haute-Provence - 1re, Benoit Gauvandésist., Ren.-Ensemble, OUI
Hautes-Alpes - 2e, Sébastien Finedésist., Ren.-Ensemble, OUI
Aveyron - 1re, Stéphane Mazars, Ren.-Ensemble, NON
Bouches-du-Rhône - 1re, Sabrina Agresti-Roubachedésist., Ren.-Ensemble, OUI
Bouches-du-Rhône - 11e, Mohamed Laqhiladésist., MoDem-Ensemble, OUI
Bouches-du-Rhône - 6e, Lionel Royer-Perreautdésist., Ren.-Ensemble, OUI
Calvados - 4e, Christophe Blanchet, MoDem-Ensemble, NON
Calvados - 6e, Elisabeth Borne, Ren.-Ensemble, NON
Charente - 2e, Sandra Marsaud, Ren.-Ensemble, NON
Charente-Maritime - 3e, Jean-Philippe Ardouindésist., Ren.-Ensemble, OUI
Cher - 1re, François Cormier-Bouligeon, Ren.-Ensemble, NON
Côte-d'Or - 3e, Fadila Khattabidésist., Ren.-Ensemble, OUI
Côte-d'Or - 5e, Didier Paris, Ren.-Ensemble, NON
Drôme - 2e, Nicolas Micheldésist., Ren.-Ensemble, OUI
Eure - 1re, Julien Canin, Ren.-Ensemble, NON
Eure-et-Loir - 1re, Guillaume Kasbarian, Ren.-Ensemble, NON
Finistère - 3e, Didier Le Gac, Ren.-Ensemble, NON
Gard - 3e, Christian Baumedésist., Hor.-Ensemble, OUI
Haute-Garonne - 5e, Jean-François Portarrieu, Hor.-Ensemble, NON
Haute-Garonne - 7e, Elisabeth Toutut-Picarddésist., Ren.-Ensemble, OUI
Gironde - 10e, Florent Boudié, Ren.-Ensemble, NON
Gironde - 8e, Sophie Panonacle, Ren.-Ensemble, NON
Hérault - 4e, Jean-François Eliaoudésist., Hor.-Ensemble, OUI
Ille-et-Vilaine - 6e, Thierry Benoit, Hor.-Ensemble, NON
Indre - 1re, François Jolivet, Hor.-Ensemble, NON
Indre-et-Loire - 2e, Daniel Labaronne, Ren.-Ensemble, NON
Indre-et-Loire - 5e, Sabine Thillaye, MoDem-Ensemble, NON
Isère - 5e, Jean-Charles Colas-Roydésist., Ren.-Ensemble, OUI
Jura - 1re, Danielle Brulebois, Ren.-Ensemble, NON
Landes - 2e, Lionel Causse, Ren.-Ensemble, NON
Loire - 3e, Emmanuel Mandon, MoDem-Ensemble, NON
Loire-Atlantique - 9e, Jean-Michel Brard, div. d.-Ensemble, NON
Loiret - 6e, Richard Ramos, MoDem-Ensemble, NON
Lot-et-Garonne - 2e, Jean-Marie Lenzidésist., Ren.-Ensemble, OUI
Maine-et-Loire - 4e, Laëtitia Saint-Paul, Ren.-Ensemble, NON
Maine-et-Loire - 6e, Nicole Dubre Chirat, Ren.-Ensemble, NON
Marne - 1re, Xavier Albertini, Hor.-Ensemble, NON
Haute-Marne - 1re, Bérangère Abba, Hor.-Ensemble, NON
Mayenne - 2e, Géraldine Bannier, MoDem-Ensemble, NON
Morbihan - 3e, Nicole Le Peih, Ren.-Ensemble, NON
Moselle - 1re, Belkhir Belhaddad, Ren.-Ensemble, NON
Nièvre - 1re, Perrine Goulet, MoDem-Ensemble, NON
Nord - 5e, Sébastien Huyghe, Ren.-Ensemble, NON
Oise - 6e, Daniel Leca, UDI-Ensemble, NON
Pas-de-Calais - 5e, Jean-Pierre Pontdésist., Ren.-Ensemble, OUI
Pyrénées-Atlantiques - 2e, Jean-Paul Matteï, MoDem-Ensemble, NON
Bas-Rhin - 4e, Françoise Buffet, Ren.-Ensemble, NON
Haut-Rhin - 6e, Bruno Fuchs, MoDem-Ensemble, NON
Rhône - 11e, Jean-Luc Fugit, Ren.-Ensemble, NON
Saône-et-Loire - 1re, Benjamin Dirx, Ren.-Ensemble, NON
Sarthe - 5e, Jean-Carles Grelier, Ren.-Ensemble, NON
Haute-Savoie - 1re, Véronique Riotton, Ren.-Ensemble, NON
Haute-Savoie - 5e, Anne-Cécile Violland, Hor.-Ensemble, NON
Paris - 4e, Astrid Panosyan-Bouvet, Ren.-Ensemble, NON
Seine-Maritime - 4e, Laurent Bonnaterredésist., Hor.-Ensemble, OUI
Seine-et-Marne - 2e, Frédéric Valletoux, Hor.-Ensemble, NON
Yvelines - 10e, Aurore Bergé, Ren.-Ensemble, NON
Yvelines - 9e, Bruno Milliennedésist., MoDem-Ensemble, OUI
Tarn - 1re, Philippe Bonnecarrere, div. c.-Ensemble, NON
Tarn - 3e, Jean Terlier, Ren.-Ensemble, NON
Vaucluse - 5e, Adrien Morenasdésist., Ren.-Ensemble, OUI
Vendée - 2e, Béatrice Bellamy, Hor.-Ensemble, NON
Vienne - 4e, Nicolas Turquois, MoDem-Ensemble, NON
Essonne - 4e, Marie-Pierre Rixain, Ren.-Ensemble, NON
Hauts-de-Seine - 6e, Constance Le Grip, Ren.-Ensemble, NON
Alpes-Maritimes - 1re, Graig Monetti, Hor.-Ensemble, NON
Aude - 2e, Christine Breyton, Ren.-Ensemble, NON
Aveyron - 2e, Samuel Deguara, Ren.-Ensemble, NON
Bouches-du-Rhône - 2e, Claire Pitollat, Ren.-Ensemble, NON
Charente-Maritime - 1re, Olivier Falorni, Ren.-Ensemble, NON
Charente-Maritime - 4e, Raphaël Gerard, Ren.-Ensemble, NON
Côtes-d'Armor - 1re, Mickaël Cosson, MoDem-Ensemble, NON
Côtes-d'Armor - 5e, Eric Bothorel, Ren.-Ensemble, NON
Dordogne - 1re, Clément Tonon, Hor.-Ensemble, NON
Dordogne - 3e, Jean-Pierre Cubertafon, MoDem-Ensemble, NON
Doubs - 1re, Laurent Croizier, MoDem-Ensemble, NON
Doubs - 4e, Philippe Gautier, Hor.-Ensemble, NON
Eure-et-Loir - 4e, Philippe Vigier, MoDem-Ensemble, NON
Finistère - 5e, Graziella Melchior, Ren.-Ensemble, NON
Finistère - 7e, Liliana Tanguy, Ren.-Ensemble, NON
Haute-Garonne - 10e, Dominique Faure, Ren.-Ensemble, NON
Haute-Garonne - 3e, Corinne Vignon, Ren.-Ensemble, NON
Gironde - 3e, Ariane Ary, MoDem-Ensemble, NON
Gironde - 5e, Stéphane Sence, Hor.-Ensemble, NON
Gironde - 7e, Bérangère Couillard, Ren.-Ensemble, NON
Hérault - 9e, Patrick Vignal, Ren.-Ensemble, NON
Ille-et-Vilaine - 2e, Laurence Maillart-Méhaignerie, Ren.-Ensemble, NON
Ille-et-Vilaine - 4e, Anne Patault, Ren.-Ensemble, NON
Indre-et-Loire - 1re, Benoist Pierre, Hor.-Ensemble, NON
Isère - 1re, Olivier Véran, Ren.-Ensemble, NON
Isère - 3e, Émilie Chalas, Ren.-Ensemble, NON
Isère - 9e, Élodie Jacquier-Laforge, MoDem-Ensemble, NON
Loir-et-Cher - 1re, Marc Fesneau, MoDem-Ensemble, NON
Loire - 1re, Quentin Bataillon, Ren.-Ensemble, NON
Loire-Atlantique - 10e, Sophie Errante, Ren.-Ensemble, NON
Loire-Atlantique - 3e, Matthieu Annereau, Ren.-Ensemble, NON
Loire-Atlantique - 5e, Sarah El Haïry, MoDem-Ensemble, NON
Loire-Atlantique - 8e, Audrey Dufeu, Ren.-Ensemble, NON
Lot - 2e, Huguette Tiegna, Ren.-Ensemble, NON
Maine-et-Loire - 2e, Stella Dupont, Ren.-Ensemble, NON
Marne - 4e, Lise Magnier, Hor.-Ensemble, NON
Meurthe-et-Moselle - 2e, Emmanuel Lacresse, Ren.-Ensemble, NON
Morbihan - 1re, Anne Le Hénanff, Hor.-Ensemble, NON
Morbihan - 5e, Lysiane Métayer, Ren.-Ensemble, NON
Nièvre - 2e, Sandra Germain, Ren.-Ensemble, NON
Nord - 11e, Ingrid Brulant-Fortin, Ren.-Ensemble, NON
Nord - 14e, Paul Christophe, Hor.-Ensemble, NON
Nord - 2e, Violette Salanon, Ren.-Ensemble, NON
Nord - 7e, Félicie Gerard, Hor.-Ensemble, NON
Nord - 9e, Violette Spillebout, Ren.-Ensemble, NON
Oise - 4e, Eric Woerth, Ren.-Ensemble, NON
Puy-de-Dôme - 1re, Hervé Prononce, Hor.-Ensemble, NON
Puy-de-Dôme - 3e, Laurence Vichnievsky, MoDem-Ensemble, NON
Pyrénées-Atlantiques - 1re, Josy Poueyto, MoDem-Ensemble, NON
Pyrénées-Atlantiques - 6e, Christian Devèze, MoDem-Ensemble, NON
Hautes-Pyrénées - 2e, Benoit Mournet, Ren.-Ensemble, NON
Bas-Rhin - 1re, Etienne Loos, Ren.-Ensemble, NON
Bas-Rhin - 3e, Bruno Studer, Ren.-Ensemble, NON
Bas-Rhin - 6e, Louise Morel, MoDem-Ensemble, NON
Bas-Rhin - 8e, Stéphanie Kochert, Hor.-Ensemble, NON
Haut-Rhin - 1re, Brigitte Klinkert, Ren.-Ensemble, NON
Haut-Rhin - 3e, Didier Lemaire, Hor.-Ensemble, NON
Rhône - 1re, Thomas Rudigoz, Ren.-Ensemble, NON
Rhône - 13e, Sarah Tanzilli, Ren.-Ensemble, NON
Rhône - 2e, Loïc Terrenes, Ren.-Ensemble, NON
Rhône - 4e, Anne Brugnera, Ren.-Ensemble, NON
Rhône - 8e, Dominique Despras, MoDem-Ensemble, NON
Saône-et-Loire - 5e, Louis Margueritte, Ren.-Ensemble, NON
Sarthe - 3e, Eric Martineau, MoDem-Ensemble, NON
Savoie - 4e, Anaïs Gomero, MoDem-Ensemble, NON
Paris - 12e, Olivia Gregoire, Ren.-Ensemble, NON
Paris - 14e, Benjamin Haddad, Ren.-Ensemble, NON
Paris - 3e, Stanislas Guerini, Ren.-Ensemble, NON
Seine-Maritime - 1re, Damien Adam, Ren.-Ensemble, NON
Seine-Maritime - 9e, Marie-Agnès Poussier-Winsback, Hor.-Ensemble, NON
Seine-et-Marne - 8e, Hadrien Ghomi, Ren.-Ensemble, NON
Yvelines - 1re, Charles Rodwell, Ren.-Ensemble, NON
Yvelines - 12e, Karl Olive, Ren.-Ensemble, NON
Yvelines - 4e, Marie Lebec, Ren.-Ensemble, NON
Yvelines - 6e, Natalia Pouzyreff, Ren.-Ensemble, NON
Somme - 2e, Hubert de Jenlis, Ren.-Ensemble, NON
Somme - 4e, Anthony Gest, Ren.-Ensemble, NON
Vaucluse - 2e, Sylvie Viala, MoDem-Ensemble, NON
Vendée - 4e, Ilias Nagnonhou, Ren.-Ensemble, NON
Vienne - 2e, Sacha Houlié, Ren.-Ensemble, NON
Haute-Vienne - 1re, Isabelle Negrier, div. c.-Ensemble, NON
Vosges - 2e, David Valence, Ren.-Ensemble, NON
Essonne - 2e, Naïma Sifer, Hor.-Ensemble, NON
Hauts-de-Seine - 10e, Gabriel Attal, Ren.-Ensemble, NON
Hauts-de-Seine - 4e, Isabelle de Crecy, Hor.-Ensemble, NON
Hauts-de-Seine - 9e, Stéphane Séjourné, Ren.-Ensemble, NON
Val-de-Marne - 3e, Loïc Signor, Ren.-Ensemble, NON
Val-de-Marne - 5e, Mathieu Lefevre, Ren.-Ensemble, NON
Val-d'Oise - 3e, Cécile Rilhac, Ren.-Ensemble, NON
Val-d'Oise - 7e, Dominique Da Silva, Ren.-Ensemble, NON
Français de l'étranger - 10e, Amélia Lakrafi, div. c.-Ensemble, NON
Français de l'étranger - 2e, Eléonore Caroit, Ren.-Ensemble, NON
Français de l'étranger - 4e, Pieyre-Alexandre Anglade, Ren.-Ensemble, NON
Français de l'étranger - 6e, Marc Ferracci, Ren.-Ensemble, NON
Français de l'étranger - 8e, Caroline Yadan, Ren.-Ensemble, NON
Ain - 2e, Romain Daubié, MoDem-Ensemble, NON
Ain - 4e, Christophe Coquelet, Hor.-Ensemble, NON
Alpes-de-Haute-Provence - 1re, Benoit Gauvandésist., Ren.-Ensemble, OUI
Hautes-Alpes - 2e, Sébastien Finedésist., Ren.-Ensemble, OUI
Aveyron - 1re, Stéphane Mazars, Ren.-Ensemble, NON
Bouches-du-Rhône - 1re, Sabrina Agresti-Roubachedésist., Ren.-Ensemble, OUI
Bouches-du-Rhône - 11e, Mohamed Laqhiladésist., MoDem-Ensemble, OUI
Bouches-du-Rhône - 6e, Lionel Royer-Perreautdésist., Ren.-Ensemble, OUI
Calvados - 4e, Christophe Blanchet, MoDem-Ensemble, NON
Calvados - 6e, Elisabeth Borne, Ren.-Ensemble, NON
Charente - 2e, Sandra Marsaud, Ren.-Ensemble, NON
Charente-Maritime - 3e, Jean-Philippe Ardouindésist., Ren.-Ensemble, OUI
Cher - 1re, François Cormier-Bouligeon, Ren.-Ensemble, NON
Côte-d'Or - 3e, Fadila Khattabidésist., Ren.-Ensemble, OUI
Côte-d'Or - 5e, Didier Paris, Ren.-Ensemble, NON
Drôme - 2e, Nicolas Micheldésist., Ren.-Ensemble, OUI
Eure - 1re, Julien Canin, Ren.-Ensemble, NON
Eure-et-Loir - 1re, Guillaume Kasbarian, Ren.-Ensemble, NON
Finistère - 3e, Didier Le Gac, Ren.-Ensemble, NON
Gard - 3e, Christian Baumedésist., Hor.-Ensemble, OUI
Haute-Garonne - 5e, Jean-François Portarrieu, Hor.-Ensemble, NON
Haute-Garonne - 7e, Elisabeth Toutut-Picarddésist., Ren.-Ensemble, OUI
Gironde - 10e, Florent Boudié, Ren.-Ensemble, NON
Gironde - 8e, Sophie Panonacle, Ren.-Ensemble, NON
